geoid,NAME,state,county,tract,households_total,median_income,hh_broadband_any,hh_no_internet,pct_broadband_any,pct_no_internet,pct_households_with_computer,pct_households_with_broadband_DP
36005025100,Census Tract 251; Bronx County; New York,36,5,25100,2314,36845.0,2006,255,86.68971477960243,11.019878997407087,6.5,2314
36005025200,Census Tract 252; Bronx County; New York,36,5,25200,921,83688.0,832,89,90.33659066232356,9.66340933767644,2.7,921
36005025300,Census Tract 253; Bronx County; New York,36,5,25300,1862,42976.0,1693,100,90.92373791621911,5.370569280343716,1.1,1862
36005025400,Census Tract 254; Bronx County; New York,36,5,25400,833,90108.0,801,32,96.15846338535414,3.8415366146458583,0.5,833
36005025500,Census Tract 255; Bronx County; New York,36,5,25500,2311,49159.0,1660,551,71.83037646040675,23.842492427520554,8.3,2311
36005025600,Census Tract 256; Bronx County; New York,36,5,25600,626,60815.0,531,84,84.82428115015975,13.418530351437699,5.3,626
36005025700,Census Tract 257; Bronx County; New York,36,5,25700,656,38667.0,630,26,96.03658536585365,3.9634146341463414,1.5,656
36005026100,Census Tract 261; Bronx County; New York,36,5,26100,1126,59242.0,1030,87,91.47424511545293,7.726465364120781,5.4,1126
36005026300,Census Tract 263; Bronx County; New York,36,5,26300,2248,42100.0,2120,82,94.30604982206405,3.6476868327402134,2.0,2248
36005026400,Census Tract 264; Bronx County; New York,36,5,26400,2227,65337.0,2102,108,94.38706780422092,4.84957341715312,4.4,2227
36005026500,Census Tract 265; Bronx County; New York,36,5,26500,2181,71688.0,2008,133,92.06785878037597,6.098120128381476,0.4,2181
36005026601,Census Tract 266.01; Bronx County; New York,36,5,26601,1400,51042.0,1233,139,88.07142857142857,9.928571428571429,4.9,1400
36005026602,Census Tract 266.02; Bronx County; New York,36,5,26602,2532,53969.0,2165,367,85.50552922590838,14.494470774091628,1.9,2532
36005026701,Census Tract 267.01; Bronx County; New York,36,5,26701,1290,52286.0,1213,51,94.03100775193799,3.953488372093023,0.0,1290
36005026702,Census Tract 267.02; Bronx County; New York,36,5,26702,2546,75924.0,2329,129,91.47682639434407,5.066771406127259,3.6,2546
36005026900,Census Tract 269; Bronx County; New York,36,5,26900,1926,27569.0,1739,147,90.2907580477674,7.632398753894081,1.0,1926
36005027300,Census Tract 273; Bronx County; New York,36,5,27300,2979,51730.0,2737,126,91.87646861362873,4.229607250755287,1.7,2979
36005027401,Census Tract 274.01; Bronx County; New York,36,5,27401,1840,105346.0,1597,65,86.79347826086956,3.532608695652174,0.3,1840
36005027402,Census Tract 274.02; Bronx County; New York,36,5,27402,1316,108235.0,1176,64,89.36170212765957,4.86322188449848,0.9,1316
36005027600,Census Tract 276; Bronx County; New York,36,5,27600,31,,23,0,74.19354838709677,0.0,1.9,31
